mass,glycan
2555.92533,HexNAc(7)Hex(7)
2569.904603,HexNAc(5)Hex(6)NeuAc(2)
2570.925005,HexNAc(5)Hex(6)Fuc(2)NeuAc(1)
2571.945406,HexNAc(5)Hex(6)Fuc(4)
2580.956969,HexNAc(8)Hex(5)Fuc(1)
2586.919916,HexNAc(5)Hex(7)Fuc(1)NeuAc(1)
2586.919958,HexNAc(5)Hex(6)Fuc(2)NeuGc(1)
2587.94036,HexNAc(5)Hex(7)Fuc(3)
2601.894471,HexNAc(5)Hex(6)NeuGc(2)
2602.914873,HexNAc(5)Hex(7)Fuc(1)NeuGc(1)
2602.914874,HexNAc(5)Hex(8)NeuAc(1)
2603.935275,HexNAc(5)Hex(8)Fuc(2)
2611.951555,HexNAc(6)Hex(5)Fuc(2)NeuAc(1)
2618.909788,HexNAc(5)Hex(8)NeuGc(1)
2619.930139,HexNAc(5)Hex(9)Fuc(1)
2621.983519,HexNAc(9)Hex(4)Fuc(1)
2627.946466,HexNAc(6)Hex(6)Fuc(1)NeuAc(1)
2642.94614,HexNAc(4)Hex(5)Fuc(3)NeuAc(2)
2643.941377,HexNAc(6)Hex(7)NeuAc(1)
2644.961778,HexNAc(6)Hex(7)Fuc(2)
2660.956739,HexNAc(6)Hex(8)Fuc(1)
2676.9516,HexNAc(6)Hex(9)
2701.983239,HexNAc(7)Hex(7)Fuc(1)
2715.962512,HexNAc(5)Hex(6)Fuc(1)NeuAc(2)
2716.982914,HexNAc(5)Hex(6)Fuc(3)NeuAc(1)
2717.97815,HexNAc(7)Hex(8)
2731.957467,HexNAc(5)Hex(7)NeuAc(2)
2732.977868,HexNAc(5)Hex(7)Fuc(2)NeuAc(1)
2747.95238,HexNAc(5)Hex(6)Fuc(1)NeuGc(2)
2748.972782,HexNAc(5)Hex(7)Fuc(2)NeuGc(1)
2748.972783,HexNAc(5)Hex(8)Fuc(1)NeuAc(1)
2756.989062,HexNAc(6)Hex(5)Fuc(1)NeuAc(2)
2759.0047,HexNAc(8)Hex(7)
2763.947295,HexNAc(5)Hex(7)NeuGc(2)
2764.967697,HexNAc(5)Hex(8)Fuc(1)NeuGc(1)
2772.983973,HexNAc(6)Hex(6)NeuAc(2)
2774.004375,HexNAc(6)Hex(6)Fuc(2)NeuAc(1)
2789.999286,HexNAc(6)Hex(7)Fuc(1)NeuAc(1)
2791.019687,HexNAc(6)Hex(7)Fuc(3)
2800.03125,HexNAc(9)Hex(6)
2805.994197,HexNAc(6)Hex(8)NeuAc(1)
2823.009563,HexNAc(6)Hex(9)Fuc(1)
2839.004478,HexNAc(6)Hex(10)
2861.00002,HexNAc(5)Hex(6)NeuAc(3)
2862.020461,HexNAc(5)Hex(6)Fuc(2)NeuAc(2)
2863.040823,HexNAc(5)Hex(6)Fuc(4)NeuAc(1)
2864.036059,HexNAc(7)Hex(8)Fuc(1)
2878.015332,HexNAc(5)Hex(7)Fuc(1)NeuAc(2)
2894.010289,HexNAc(5)Hex(6)Fuc(2)NeuGc(2)
2908.984802,HexNAc(5)Hex(6)NeuGc(3)
2910.005204,HexNAc(5)Hex(7)Fuc(1)NeuGc(2)
2921.05752,HexNAc(8)Hex(8)
2935.036793,HexNAc(6)Hex(7)NeuAc(2)
2936.057195,HexNAc(6)Hex(7)Fuc(2)NeuAc(1)
2946.089159,HexNAc(9)Hex(6)Fuc(1)
2952.052106,HexNAc(6)Hex(8)Fuc(1)NeuAc(1)
2985.062387,HexNAc(6)Hex(10)Fuc(1)
3001.057302,HexNAc(6)Hex(11)
3007.057929,HexNAc(5)Hex(6)Fuc(1)NeuAc(3)
3008.07833,HexNAc(5)Hex(6)Fuc(3)NeuAc(2)
3009.073567,HexNAc(7)Hex(8)NeuAc(1)
3048.084479,HexNAc(6)Hex(5)Fuc(1)NeuAc(3)
3055.042711,HexNAc(5)Hex(6)Fuc(1)NeuGc(3)
3064.07939,HexNAc(6)Hex(6)NeuAc(3)
3065.099791,HexNAc(6)Hex(6)Fuc(2)NeuAc(2)
3081.094702,HexNAc(6)Hex(7)Fuc(1)NeuAc(2)
3082.115104,HexNAc(6)Hex(7)Fuc(3)NeuAc(1)
3083.11034,HexNAc(8)Hex(9)
3114.104926,HexNAc(6)Hex(9)Fuc(1)NeuAc(1)
3147.115211,HexNAc(6)Hex(11)Fuc(1)
3155.131476,HexNAc(7)Hex(8)Fuc(1)NeuAc(1)
3226.13221,HexNAc(6)Hex(7)NeuAc(3)
3229.168249,HexNAc(8)Hex(9)Fuc(1)
3299.173747,HexNAc(5)Hex(6)Fuc(3)NeuAc(3)
3405.200342,HexNAc(6)Hex(9)Fuc(1)NeuAc(2)
3432.247619,HexNAc(9)Hex(9)Fuc(1)
3448.24253,HexNAc(9)Hex(10)
3517.227626,HexNAc(6)Hex(7)NeuAc(4)
3575.269489,HexNAc(7)Hex(7)Fuc(1)NeuAc(3)
4028.417725,HexNAc(7)Hex(8)Fuc(1)NeuAc(4)
